id;title;description;location;start_date;end_date;invite_only
1;Tasty Plastic Tuna cross-platform connect;Concrete portals;CFA Franc BEAC bluetooth Missouri;2021-03-11T20:29:03;2021-03-12T01:49:55;false
2;Awesome back-end generating;array hack Shoes;Oval;2021-03-12T06:39:17;2021-03-12T03:42:06;false
3;monetize;Home Loan Account;copying;2021-03-12T12:56:36;2021-03-12T00:14:21;true
4;contingency Human Car;Indiana back up transmitting;upward-trending hack;2021-03-11T17:23:38;2021-03-12T06:52:16;false
5;Ergonomic calculate;visionary quantify;discrete robust discrete;2021-03-11T17:45:18;2021-03-11T18:40:11;true
6;RSS;maximize withdrawal;Advanced sexy;2021-03-12T14:02:26;2021-03-12T14:48:58;false
7;Borders Montana mint green;Down-sized lavender;Credit Card Account auxiliary;2021-03-12T10:09:30;2021-03-11T19:18:28;false
8;mint green Team-oriented;Handcrafted PCI;Cuban Peso Peso Convertible Rustic;2021-03-11T19:35:08;2021-03-12T00:12:05;true
9;Shoal;Money Market Account;virtual function;2021-03-12T08:11:11;2021-03-11T20:16:21;true
10;overriding Indiana;Steel Movies Avon;interactive Towels;2021-03-12T16:37:38;2021-03-12T14:29:36;true
