id;status;start_date;end_date
1;true;2021-03-11T20:46:54;2021-03-12T12:32:07
2;true;2021-03-11T18:27:23;2021-03-12T10:09:12
3;false;2021-03-12T10:54:25;2021-03-11T18:22:42
4;true;2021-03-12T07:27:53;2021-03-11T22:52:04
5;false;2021-03-12T04:01:53;2021-03-11T20:26:24
6;true;2021-03-12T12:00:43;2021-03-12T03:16:10
7;true;2021-03-12T02:25:54;2021-03-12T10:07:12
8;false;2021-03-12T09:40:33;2021-03-12T06:26:30
9;true;2021-03-11T18:42:47;2021-03-11T17:20:13
10;true;2021-03-12T13:39:19;2021-03-12T11:58:08
